UUID,Manufacture,Model,Release Year,MSRP,Weight,Length,Max Diameter,Max Aperture,EFL,Zoom,Stabilized,Cinema,Format,Variety,Designed In,Made In
183,Sigma,24mm f/1.4 DG HSM Art,2015,850,665,90.17,85.09,1.4,24,0,0,0,Full-Frame,Wide Angle,Japan,
184,Sigma,30mm f/2.8 DN Art,2012,199,150,40.386,60.706,2.8,30,0,0,0,Micro Four Thirds,Normal,Japan,
185,Sigma,30mm f/1.4 DC Contemporary,2016,339,265,73.406,64.77,1.4,30,0,0,0,APS-C,Normal,Japan,
186,Sigma,35mm f/1.4 DG HSM Art,2012,899,665,93.98,76.962,1.4,35,0,0,0,Full-Frame,Wide Angle,Japan,
187,Sigma,50mm f/1.4 DG HSM Art,2014,949,815,99.822,85.344,1.4,50,0,0,0,Full-Frame,Normal,Japan,
188,Sigma,60mm f/2.8 DN Art,2012,209,150,55.88,60.96,2.8,60,0,0,0,Micro Four Thirds,Medium Telephoto,Japan,
189,Sigma,85mm f/1.4 EX DG HSM,2010,969,725,86.36,86.36,1.4,85,0,0,0,Full-Frame,Short Telephoto,Japan,
190,Sigma,120-300mm f/2.8 DG OS HSM Sport,2012,3599,3390,291.084,121.412,2.8,120-300,1,1,0,Full-Frame,Medium Telephoto,Japan,
191,Sigma,24-35mm f/2 DG HSM Art,2015,999,941,121.92,86.36,2,24-35,1,0,0,Full-Frame,Wide Angle,Japan,
192,Sigma,150-600mm f/5-6.3 DG OS HSM,2015,989,1950,259,104,5,150-600,1,1,0,Full-Frame,Long Telephoto,Japan,
193,Sigma,150-600mm f/5-6.3 DG OS HSM Sport,2015,1999,2860,290,122,5,150-600,1,1,0,Full-Frame,Long Telephoto,Japan,
194,Sigma,85mm f/1.4 DG HSM Art,2016,1199,,126.2,94.7,1.4,85,0,0,0,Full-Frame,Short Telephoto,Japan,
195,Sigma,12-24mm f/4 DG HSM Art,2016,1599,1150,131.5,102,4,12-24,1,0,0,Full-Frame,Ultra Wide Angle,Japan,
196,Sigma,500mm f/4 DG OS HSM Sport,2016,5999,3310,380.3,144.8,4,500,0,1,0,Full-Frame,Long Telephoto,Japan,
197,Sigma,50-100mm f/1.8 DC HSM Art,2016,1099,1490,170.7,93.5,1.8,50-100,1,0,0,APS-C,Telephoto,Japan,
198,Sony,FE 28mm f/2,2015,448,200,59.944,64.008,2,28,0,0,0,Full-Frame,Wide Angle,Japan,
199,Sony,Sonnar T* FE 35mm f/2.8 ZA,2013,798,120,36.576,61.468,2.8,35,0,0,0,Full-Frame,Wide Angle,Japan,
200,Sony,Distagon T* FE 35mm f/1.4 ZA,2015,1598,630,112.014,78.486,1.4,35,0,0,0,Full-Frame,Wide Angle,Japan,
201,Sony,FE 50mm f/1.8,2016,248,186,59.436,68.58,1.8,50,0,0,0,Full-Frame,Normal,Japan,
202,Sony,Sonnar T* FE 55mm f/1.8 ZA,2013,998,281,70.612,64.516,1.8,55,0,0,0,Full-Frame,Normal,Japan,
203,Sony,FE 85mm f/1.4 GM,2016,1798,820,107.442,89.408,1.4,85,0,0,0,Full-Frame,Short Telephoto,Japan,
204,Sony,FE 90mm f/2.8 Macro G OSS,2015,602,130.556,130.556,78.994,2.8,90,0,1,0,Full-Frame,Macro,Japan,
205,Sony,Vario-Tessar T* FE 16-35mm f/4 ZA OSS,2014,1348,518,98.552,77.978,4,16-36,1,1,0,Full-Frame,Ultra Wide Angle,Japan,
206,Sony,FE 24-240mm f/3.5-6.3 OSS,2015,998,780,118.618,80.518,6.3,24-240,1,1,0,Full-Frame,Superzoom,Japan,
207,Sony,Vario-Tessar T* FE 24-70mm f/4 ZA OSS,2013,1198,430,944.88,72.898,4,24-70,1,1,0,Full-Frame,Normal,Japan,
208,Sony,FE 24-70mm f/2.8 GM,2016,2198,886,131.075,87.63,2.8,24-70,1,1,0,Full-Frame,Normal,Japan,
209,Sony,FE PZ 28-135mm f/4 G OSS,2014,2498,1215,165.1,101.6,4,28-135,1,1,0,Full-Frame,Normal,Japan,
210,Sony,FE 70-200mm f/4 G OSS,2013,1498,840,175.006,80.01,4,70-200,1,1,0,Full-Frame,Telephoto,Japan,
211,Sony,FE 70-200mm f/2.8 GM OSS,2016,3000,1480,199.898,87.884,2.8,70-200,1,1,0,Full-Frame,Telephoto,Japan,
212,Sony,FE 70-300mm f/4.5-5.6G OSS,2016,1198,854,143.51,84.074,5.6,70-300,1,1,0,Full-Frame,Telephoto,Japan,
213,Sony,Planar T* FE 50mm f/1.4 ZA,2016,1498,778,108,83.5,1.4,50,0,0,0,Full-Frame,Normal,Japan,
214,Tamron,SP 35mm f/1.8 Di VC USD,2015,599,450.77,78.74,80.518,1.8,35,0,1,0,Full-Frame,Wide Angle,Japan,
215,Tamron,SP 45mm f/1.8 Di VC USD,2015,599,498.95,88.9,3.17,1.8,45,0,1,0,Full-Frame,Normal,Japan,
216,Tamron,SP 90mm f/2.8 Di Macro 1:1 VC USD,2012,749,550,114.554,76.454,2.8,90,0,1,0,Full-Frame,Macro,Japan,
217,Tamron,SP 150-600mm f/5-6.3 Di VC USD,2013,1069,1950,257.81,105.664,6.3,150-600,1,1,0,Full-Frame,Long Telephoto,Japan,
218,Tamron,SP 15-30mm f/2.8 Di VC USD,2014,1199,1100,143.002,98.298,2.8,15-30,1,1,0,Full-Frame,Wide Angle,Japan,
219,Tamron,SP 24-70mm f/2.8 Di VC USD,2012,1299,825,116.84,88.9,2.8,24-70,1,1,0,Full-Frame,Normal,Japan,
220,Tamron,28-300mm f/3.5-6.3 Di VC PZD,2014,849,540,96.012,74.422,6.3,28-300,1,1,0,Full-Frame,Superzoom,Japan,
221,Tamron,SP 70-200mm f/2.8 Di VC USD,2012,1499,1470,188.214,85.852,2.8,70-200,1,1,0,Full-Frame,Telephoto,Japan,
222,Tamron,SP 70-300mm f/4-5.6 Di VC USD,2010,449,765,149.86,81.534,5.6,70-300,1,1,0,Full-Frame,Telephoto,Japan,
223,Tamron,AF 28-75mm f2.8 XR DI LD,1992,499,508,91.9,73,2.8,28-75,1,0,0,Full-Frame,Normal,Japan,
224,Tamron,SP 150-600mm f/5-6.3 Di VC USD G2,2016,1399,2010,260.2,108.4,5,150-600,1,1,0,Full-Frame,Long Telephoto,Japan,
225,Tamron,SP 85mm f/1.8 Di VC USD,2016,749,700,91.3,84.8,1.8,85,0,1,0,Full-Frame,Short Telephoto,Japan,
226,Tokina,100mm f/2.8 AT-X M100 AF Pro D,2006,379,540,94.996,73.66,2.8,100,0,0,0,Full-Frame,Macro,Japan,
227,Tokina,AT-X 16-28mm f/2.8 Pro FX,2010,629,950,133.35,89.916,2.8,16-28,1,0,0,Full-Frame,Ultra Wide Angle,Japan,
228,Tokina,17-35mm f/4 Pro FX,2011,449,600,93.98,88.9,4,17-35,1,0,0,Full-Frame,Ultra Wide Angle,Japan,
229,Tokina,AT-X 24-70mm f/2.8 Pro FX,2015,999,1000,107.442,135.128,2.8,24-70,1,0,0,Full-Frame,Normal,Japan,
230,Tokina,AT-X 70-200mm f/4 Pro FX VCM-S,2014,899,980,167.386,82.042,4,70-200,1,1,0,Full-Frame,Telephoto,Japan,
231,Tokina,FiRIN 20mm f/2 FE MF,2016,799,490,81.5,69,2,20,0,0,0,Full-Frame,Ultra Wide Angle,Japan,
232,Venus,Laowa 15mm f/4 Wide Angle 1:1 Macro,2015,499,410,64.7,83.8,4,15,0,0,0,Full-Frame,Ultra Wide Angle,China,China
233,Venus,Laowa 60mm f/2.8 2X Ultra-Macro,2015,399,503,95,70,2.8,60,0,0,0,Full-Frame,Macro,China,China
234,Venus,Laowa STF 105mm f/2 (T3.2),2016,699,745,98.9,76,2,105,0,0,0,Full-Frame,Short Telephoto,China,China
235,Venus,Laowa 12mm f/2.8 Zero-D,2016,949,609,82.8,74.8,2.8,12,0,0,0,Full-Frame,Ultra Wide Angle,China,China
236,Voigtlander,10.5mm f/0.95 Aspherical,2014,1099,586,82.296,76.962,0.95,10.5,0,0,0,Micro Four Thirds,Ultra Wide Angle,,
237,Voigtlander,Ultra-Wide Heliar 12mm f/5.6 II,2010,699,230,42.5,74.6,5.6,12,0,0,0,Full-Frame,Ultra Wide Angle,,
238,Voigtlander,Super-Wide Heliar 15mm f/4.5 III,2014,699,247,55.2,64.8,4.5,15,0,0,0,Full-Frame,Ultra Wide Angle,,
239,Voigtlander,17.5mm f/0.95 Aspherical,2012,899,540,80.01,63.5,0.95,17.5,0,0,0,Micro Four Thirds,Wide Angle,,
240,Voigtlander,Color-Skopar 21mm f/4 P II,2014,419,136,25,55,4,21,0,0,0,Full-Frame,Wide Angle,,
241,Voigtlander,Ultron 21mm f/1.8,2012,1049,412,92,69,1.8,21,0,0,0,Full-Frame,Wide Angle,,
242,Voigtlander,Color-Skopar 25mm f/4P,2014,419,144,30,55,4,25,0,0,0,Full-Frame,Wide Angle,,
